id,symbol,name,current_price,market_cap,total_volume,price_change_24h,price_change_percentage_24h,last_updated,etl_timestamp
bitcoin,btc,Bitcoin,91258.0,1822463725673,122906911327,-4407.101282741001,-4.60679,2025-11-18 11:18:12.545000+00:00,2025-11-18 12:18:13.566727
ethereum,eth,Ethereum,3053.13,369055215596,49180465346,-146.60754220122135,-4.58186,2025-11-18 11:18:12.291000+00:00,2025-11-18 12:18:13.566727
tether,usdt,Tether,0.999104,183839029714,167950181944,-0.000204860073996227,-0.0205,2025-11-18 11:18:12.350000+00:00,2025-11-18 12:18:13.566727
ripple,xrp,XRP,2.19,131959464594,7868943784,-0.08748657481802802,-3.84619,2025-11-18 11:18:10.520000+00:00,2025-11-18 12:18:13.566727
binancecoin,bnb,BNB,915.42,126317086670,4113006530,-19.23417626505568,-2.05788,2025-11-18 11:18:12.190000+00:00,2025-11-18 12:18:13.566727
solana,sol,Solana,137.5,76294027091,9725166952,-4.836749478773356,-3.39811,2025-11-18 11:18:10.966000+00:00,2025-11-18 12:18:13.566727
usd-coin,usdc,USDC,0.999706,74712403070,14295620099,-2.7114868698552e-05,-0.00271,2025-11-18 11:18:12.752000+00:00,2025-11-18 12:18:13.566727
tron,trx,TRON,0.289298,27398607194,1310562817,-0.004200533265778517,-1.43119,2025-11-18 11:18:12.271000+00:00,2025-11-18 12:18:13.566727
staked-ether,steth,Lido Staked Ether,3049.93,26414450905,102447670,-148.27060155003892,-4.63606,2025-11-18 11:18:11.012000+00:00,2025-11-18 12:18:13.566727
dogecoin,doge,Dogecoin,0.156737,23824505912,3248271972,-0.00562011766249737,-3.46159,2025-11-18 11:18:05.231000+00:00,2025-11-18 12:18:13.566727
cardano,ada,Cardano,0.46838,17157281259,1313816172,-0.0265847817978358,-5.37104,2025-11-18 11:18:00.072000+00:00,2025-11-18 12:18:13.566727
figure-heloc,figr_heloc,Figure Heloc,1.029,14025888376,13777565,0.0087817,0.86095,2025-11-18 08:02:42.745000+00:00,2025-11-18 12:18:13.566727
wrapped-steth,wsteth,Wrapped stETH,3722.74,12160593309,47350451,-176.74673220842533,-4.53257,2025-11-18 11:18:12.983000+00:00,2025-11-18 12:18:13.566727
wrapped-bitcoin,wbtc,Wrapped Bitcoin,91165.0,11560318021,696722744,-4331.830460988174,-4.53608,2025-11-18 11:18:13.192000+00:00,2025-11-18 12:18:13.566727
hyperliquid,hype,Hyperliquid,40.86,11099444590,641099429,1.99,5.10994,2025-11-18 11:18:06.552000+00:00,2025-11-18 12:18:13.566727
whitebit,wbt,WhiteBIT Coin,51.14,10997672830,189212237,-1.7982271524273798,-3.39707,2025-11-18 11:18:12.647000+00:00,2025-11-18 12:18:13.566727
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3306.68,10809330100,20595174,-156.8956788538244,-4.52988,2025-11-18 11:18:12.838000+00:00,2025-11-18 12:18:13.566727
bitcoin-cash,bch,Bitcoin Cash,486.55,9721694815,374414431,-12.028450330905855,-2.41256,2025-11-18 11:17:59.757000+00:00,2025-11-18 12:18:13.566727
chainlink,link,Chainlink,13.51,9423408858,1061614327,-0.6180269649702979,-4.37417,2025-11-18 11:18:00.636000+00:00,2025-11-18 12:18:13.566727
zcash,zec,Zcash,568.08,9379309744,1952965542,-108.13185320181788,-15.99075,2025-11-18 11:18:13.239000+00:00,2025-11-18 12:18:13.566727
usds,usds,USDS,0.999723,9233522174,26887419,-0.000136166767486068,-0.01362,2025-11-18 11:18:12.232000+00:00,2025-11-18 12:18:13.566727
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.99868,8975309428,2080455702,-0.000772582742396444,-0.0773,2025-11-18 11:18:05.663000+00:00,2025-11-18 12:18:13.566727
leo-token,leo,LEO Token,9.4,8686201625,1017546,0.186464,2.02422,2025-11-18 11:18:07.260000+00:00,2025-11-18 12:18:13.566727
stellar,xlm,Stellar,0.250759,8078156564,261265697,-0.0096537294785638,-3.70709,2025-11-18 11:18:11.407000+00:00,2025-11-18 12:18:13.566727
weth,weth,WETH,3057.41,7975715552,859699766,-142.03465644755124,-4.43935,2025-11-18 11:18:13.368000+00:00,2025-11-18 12:18:13.566727
wrapped-eeth,weeth,Wrapped eETH,3300.21,7946331239,46182525,-158.83129292364038,-4.59178,2025-11-18 11:18:12.859000+00:00,2025-11-18 12:18:13.566727
ethena-usde,usde,Ethena USDe,0.997748,7817854023,267749674,-0.00073944308920626,-0.07406,2025-11-18 11:18:05.522000+00:00,2025-11-18 12:18:13.566727
monero,xmr,Monero,407.4,7545516340,226808064,1.21,0.29877,2025-11-18 11:18:08.185000+00:00,2025-11-18 12:18:13.566727
litecoin,ltc,Litecoin,94.6,7246775676,933717311,-2.1122424166171925,-2.18403,2025-11-18 11:18:07.707000+00:00,2025-11-18 12:18:13.566727
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,91363.0,6771872339,877161508,-4344.102205105737,-4.53897,2025-11-18 11:18:01.352000+00:00,2025-11-18 12:18:13.566727
avalanche-2,avax,Avalanche,14.59,6258684578,731380437,-1.0501365798651818,-6.71348,2025-11-18 11:18:00.054000+00:00,2025-11-18 12:18:13.566727
hedera-hashgraph,hbar,Hedera,0.145966,6208758217,337445585,-0.005959715112513558,-3.92277,2025-11-18 11:18:12.283000+00:00,2025-11-18 12:18:13.566727
sui,sui,Sui,1.65,6101144086,1361490979,-0.07226522490760967,-4.18518,2025-11-18 11:18:11.639000+00:00,2025-11-18 12:18:13.566727
shiba-inu,shib,Shiba Inu,8.77e-06,5170954598,185401775,-2.88577165991e-07,-3.18533,2025-11-18 11:18:10.754000+00:00,2025-11-18 12:18:13.566727
uniswap,uni,Uniswap,7.29,4597819298,1244153508,-0.6966921838564906,-8.72333,2025-11-18 11:18:12.451000+00:00,2025-11-18 12:18:13.566727
dai,dai,Dai,0.999741,4513933546,133939218,0.00113404,0.11356,2025-11-18 11:18:03.286000+00:00,2025-11-18 12:18:13.566727
the-open-network,ton,Toncoin,1.8,4494035589,177089898,-0.027686585839922895,-1.51262,2025-11-18 11:18:12.152000+00:00,2025-11-18 12:18:13.566727
polkadot,dot,Polkadot,2.71,4454241822,317867680,-0.10568223440454094,-3.75008,2025-11-18 11:18:09.591000+00:00,2025-11-18 12:18:13.566727
ethena-staked-usde,susde,Ethena Staked USDe,1.2,4401293391,76799739,-0.000193322268352558,-0.01607,2025-11-18 11:18:05.306000+00:00,2025-11-18 12:18:13.566727
usdt0,usdt0,USDT0,0.998982,3965674255,459307295,-3.4377110047723e-05,-0.00344,2025-11-18 11:18:12.790000+00:00,2025-11-18 12:18:13.566727
crypto-com-chain,cro,Cronos,0.104815,3917695187,50600459,-0.006841455951874006,-6.12724,2025-11-18 11:18:02.705000+00:00,2025-11-18 12:18:13.566727
susds,susds,sUSDS,1.077,3788938473,13751133,0.00465757,0.43444,2025-11-18 11:18:11.291000+00:00,2025-11-18 12:18:13.566727
world-liberty-financial,wlfi,World Liberty Financial,0.137633,3749822192,199356972,-0.009188681243757685,-6.25838,2025-11-18 11:18:12.911000+00:00,2025-11-18 12:18:13.566727
canton-network,cc,Canton,0.105036,3708573965,53325366,-0.004789267737092082,-4.36081,2025-11-18 11:17:59.506000+00:00,2025-11-18 12:18:13.566727
memecore,m,MemeCore,2.16,3692990699,20894421,0.02210239,1.03375,2025-11-18 11:18:07.798000+00:00,2025-11-18 12:18:13.566727
mantle,mnt,Mantle,1.087,3542403659,127749445,-0.10898404809533502,-9.1147,2025-11-18 11:18:07.697000+00:00,2025-11-18 12:18:13.566727
paypal-usd,pyusd,PayPal USD,1.0,3460899224,234362246,0.00054687,0.05471,2025-11-18 11:18:09.217000+00:00,2025-11-18 12:18:13.566727
bittensor,tao,Bittensor,316.78,3053086162,246354319,-10.667145829538924,-3.25764,2025-11-18 11:17:57.862000+00:00,2025-11-18 12:18:13.566727
internet-computer,icp,Internet Computer,5.57,3048179420,874879178,0.690197,14.15671,2025-11-18 11:18:07.819000+00:00,2025-11-18 12:18:13.566727
near,near,NEAR Protocol,2.25,2891794670,553636868,-0.07338874849564903,-3.15965,2025-11-18 11:18:08.448000+00:00,2025-11-18 12:18:13.566727
